scenario_id,wind_scenario,pv_scenario,hour,time,base_load_mw,wind_power_mw,pv_power_mw,renewable_power_mw,production_ton,power_ratio,on_status,grid_mode_purchase,alk_power_mw,pem_power_mw,ammonia_power_mw,hydrogen_ammonia_load_mw,total_load_mw,grid_purchase_mw,grid_export_mw,renewable_self_used_mw,hourly_ammonia_output_ton,tou_price_yuan_per_kwh,grid_purchase_cost_yuan,wind_generation_cost_yuan,pv_generation_cost_yuan,alk_om_cost_yuan,pem_om_cost_yuan,ammonia_om_cost_yuan,grid_export_revenue_yuan,hourly_net_cost_yuan
W1_PV1,风电场景1,光伏场景1,0,0:00-1:00,1.3698000000000001,9.776,0.0,9.776,72.0,1.0,1,1,20.0,20.0,1.5,41.5,42.8698,33.0938,0.0,9.776,3.0,0.3424,11331.31712,1466.3999999999999,0.0,2000.0,3000.0,3.0,0.0,17800.71712
W1_PV1,风电场景1,光伏场景1,1,1:00-2:00,1.0997999999999999,10.904,0.0,10.904,72.0,1.0,1,1,20.0,20.0,1.5,41.5,42.5998,31.6958,0.0,10.904,3.0,0.3424,10852.64192,1635.6,0.0,2000.0,3000.0,3.0,0.0,17491.24192
W1_PV1,风电场景1,光伏场景1,2,2:00-3:00,0.7998000000000001,15.152000000000001,0.0,15.152000000000001,72.0,1.0,1,1,20.0,20.0,1.5,41.5,42.2998,27.147799999999997,0.0,15.152000000000001,3.0,0.3424,9295.406719999997,2272.8,0.0,2000.0,3000.0,3.0,0.0,16571.20672
W1_PV1,风电场景1,光伏场景1,3,3:00-4:00,0.99,13.312,0.0,13.312,72.0,1.0,1,1,20.0,20.0,1.5,41.5,42.49,29.178,0.0,13.312,3.0,0.3424,9990.547199999999,1996.8,0.0,2000.0,3000.0,3.0,0.0,16990.347199999997
W1_PV1,风电场景1,光伏场景1,4,4:00-5:00,1.1802000000000001,15.072000000000001,0.0,15.072000000000001,72.0,1.0,1,1,20.0,20.0,1.5,41.5,42.6802,27.6082,0.0,15.072000000000001,3.0,0.3424,9453.04768,2260.8,0.0,2000.0,3000.0,3.0,0.0,16716.84768
W1_PV1,风电场景1,光伏场景1,5,5:00-6:00,1.6301999999999999,18.724,0.0,18.724,72.0,1.0,1,1,20.0,20.0,1.5,41.5,43.1302,24.4062,0.0,18.724,3.0,0.3424,8356.682879999998,2808.6,0.0,2000.0,3000.0,3.0,0.0,16168.282879999999
W1_PV1,风电场景1,光伏场景1,6,6:00-7:00,2.5002,9.628,14.08,23.708,72.0,1.0,1,1,20.0,20.0,1.5,41.5,44.0002,20.2922,0.0,23.708,3.0,0.3424,6948.04928,1444.2,1689.6,2000.0,3000.0,3.0,0.0,15084.84928
W1_PV1,风电场景1,光伏场景1,7,7:00-8:00,3.3701999999999996,22.804000000000002,25.6,48.404,72.0,1.0,1,0,20.0,20.0,1.5,41.5,44.8702,0.0,3.5338000000000065,44.8702,3.0,0.6074,0.0,3420.6000000000004,3072.0,2000.0,3000.0,3.0,1335.4230200000025,10160.176979999998
W1_PV1,风电场景1,光伏场景1,8,8:00-9:00,4.0098,17.852,37.12,54.971999999999994,72.0,1.0,1,0,20.0,20.0,1.5,41.5,45.5098,0.0,9.462199999999996,45.5098,3.0,0.6074,0.0,2677.7999999999997,4454.4,2000.0,3000.0,3.0,3575.7653799999985,8559.43462
W1_PV1,风电场景1,光伏场景1,9,9:00-10:00,4.199999999999999,14.328000000000001,46.08,60.408,72.0,1.0,1,0,20.0,20.0,1.5,41.5,45.7,0.0,14.707999999999998,45.7,3.0,0.6074,0.0,2149.2000000000003,5529.599999999999,2000.0,3000.0,3.0,5558.1532,7123.6467999999995
W1_PV1,风电场景1,光伏场景1,10,10:00-11:00,4.1202,11.904,52.48,64.384,72.0,1.0,1,0,20.0,20.0,1.5,41.5,45.6202,0.0,18.763800000000003,45.6202,3.0,0.8024,0.0,1785.6,6297.599999999999,2000.0,3000.0,3.0,7090.8400200000015,5995.359979999997
W1_PV1,风电场景1,光伏场景1,11,11:00-12:00,3.9000000000000004,7.736,55.04,62.775999999999996,72.0,1.0,1,0,20.0,20.0,1.5,41.5,45.4,0.0,17.375999999999998,45.4,3.0,0.8024,0.0,1160.3999999999999,6604.8,2000.0,3000.0,3.0,6566.390399999999,6201.809600000001
W1_PV1,风电场景1,光伏场景1,12,12:00-13:00,3.2598000000000003,8.556000000000001,56.32,64.876,72.0,1.0,1,0,20.0,20.0,1.5,41.5,44.7598,0.0,20.116200000000006,44.7598,3.0,0.8024,0.0,1283.4000000000003,6758.4,2000.0,3000.0,3.0,7601.9119800000035,5442.888019999996
W1_PV1,风电场景1,光伏场景1,13,13:00-14:00,2.6898,14.52,56.32,70.84,72.0,1.0,1,0,20.0,20.0,1.5,41.5,44.1898,0.0,26.650199999999998,44.189800000000005,3.0,0.8024,0.0,2178.0,6758.4,2000.0,3000.0,3.0,10071.110579999999,3868.289420000001
W1_PV1,风电场景1,光伏场景1,14,14:00-15:00,3.63,6.707999999999999,52.48,59.187999999999995,72.0,1.0,1,0,20.0,20.0,1.5,41.5,45.13,0.0,14.057999999999993,45.13,3.0,0.8024,0.0,1006.1999999999998,6297.599999999999,2000.0,3000.0,3.0,5312.518199999998,6994.281800000002
W1_PV1,风电场景1,光伏场景1,15,15:00-16:00,3.8202000000000003,11.175999999999998,44.8,55.976,72.0,1.0,1,0,20.0,20.0,1.5,41.5,45.3202,0.0,10.6558,45.3202,3.0,0.6074,0.0,1676.3999999999996,5376.0,2000.0,3000.0,3.0,4026.8268199999998,8028.573179999999
W1_PV1,风电场景1,光伏场景1,16,16:00-17:00,3.75,10.107999999999999,33.28,43.388,72.0,1.0,1,1,20.0,20.0,1.5,41.5,45.25,1.8620000000000019,0.0,43.388,3.0,0.6074,1130.9788000000012,1516.1999999999996,3993.6,2000.0,3000.0,3.0,0.0,11643.7788
W1_PV1,风电场景1,光伏场景1,17,17:00-18:00,3.1398,6.3839999999999995,24.32,30.704,72.0,1.0,1,1,20.0,20.0,1.5,41.5,44.6398,13.9358,0.0,30.704,3.0,0.6074,8464.604920000002,957.5999999999998,2918.4,2000.0,3000.0,3.0,0.0,17343.60492
W1_PV1,风电场景1,光伏场景1,18,18:00-19:00,2.61,6.428000000000001,11.52,17.948,72.0,1.0,1,1,20.0,20.0,1.5,41.5,44.11,26.162,0.0,17.948,3.0,0.8024,20992.3888,964.2,1382.3999999999999,2000.0,3000.0,3.0,0.0,28341.988800000003
W1_PV1,风电场景1,光伏场景1,19,19:00-20:00,2.1198,5.736,0.0,5.736,72.0,1.0,1,1,20.0,20.0,1.5,41.5,43.6198,37.8838,0.0,5.736,3.0,0.8024,30397.961120000004,860.4,0.0,2000.0,3000.0,3.0,0.0,36261.36112
W1_PV1,风电场景1,光伏场景1,20,20:00-21:00,1.8599999999999999,3.752,0.0,3.752,72.0,1.0,1,1,20.0,20.0,1.5,41.5,43.36,39.608,0.0,3.752,3.0,0.8024,31781.4592,562.8,0.0,2000.0,3000.0,3.0,0.0,37347.2592
W1_PV1,风电场景1,光伏场景1,21,21:00-22:00,1.6301999999999999,3.6919999999999997,0.0,3.6919999999999997,72.0,1.0,1,1,20.0,20.0,1.5,41.5,43.1302,39.4382,0.0,3.6919999999999997,3.0,0.6074,23954.762680000003,553.8,0.0,2000.0,3000.0,3.0,0.0,29511.562680000003
W1_PV1,风电场景1,光伏场景1,22,22:00-23:00,1.56,4.88,0.0,4.88,72.0,1.0,1,1,20.0,20.0,1.5,41.5,43.06,38.18,0.0,4.88,3.0,0.6074,23190.532000000003,732.0,0.0,2000.0,3000.0,3.0,0.0,28925.532000000003
W1_PV1,风电场景1,光伏场景1,23,23:00-24:00,1.4802,3.1919999999999997,0.0,3.1919999999999997,72.0,1.0,1,1,20.0,20.0,1.5,41.5,42.980199999999996,39.7882,0.0,3.1919999999999997,3.0,0.3424,13623.47968,478.7999999999999,0.0,2000.0,3000.0,3.0,0.0,19105.27968
W1_PV1,风电场景1,光伏场景1,0,0:00-1:00,1.3698000000000001,9.776,0.0,9.776,63.0,0.9999999999999993,1,1,19.999999999999986,19.999999999999986,1.4999999999999991,41.49999999999997,42.86979999999997,33.09379999999997,0.0,9.776,2.9999999999999982,0.3424,11331.31711999999,1466.3999999999999,0.0,1999.9999999999986,2999.9999999999977,2.9999999999999982,0.0,17800.717119999987
W1_PV1,风电场景1,光伏场景1,1,1:00-2:00,1.0997999999999999,10.904,0.0,10.904,63.0,0.9999999999999998,1,1,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,42.599799999999995,31.69579999999999,0.0,10.904,2.999999999999999,0.3424,10852.641919999996,1635.6,0.0,1999.9999999999998,2999.9999999999995,2.999999999999999,0.0,17491.241919999997
W1_PV1,风电场景1,光伏场景1,2,2:00-3:00,0.7998000000000001,15.152000000000001,0.0,15.152000000000001,63.0,0.9999999999999998,1,1,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,42.29979999999999,27.14779999999999,0.0,15.152000000000001,2.999999999999999,0.3424,9295.406719999995,2272.8,0.0,1999.9999999999998,2999.9999999999995,2.999999999999999,0.0,16571.206719999995
W1_PV1,风电场景1,光伏场景1,3,3:00-4:00,0.99,13.312,0.0,13.312,63.0,0.9999999999999998,1,1,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,42.489999999999995,29.177999999999994,0.0,13.312,2.999999999999999,0.3424,9990.547199999997,1996.8,0.0,1999.9999999999998,2999.9999999999995,2.999999999999999,0.0,16990.347199999997
W1_PV1,风电场景1,光伏场景1,4,4:00-5:00,1.1802000000000001,15.072000000000001,0.0,15.072000000000001,63.0,0.9999999999999998,1,1,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,42.68019999999999,27.608199999999993,0.0,15.072000000000001,2.999999999999999,0.3424,9453.047679999998,2260.8,0.0,1999.9999999999998,2999.9999999999995,2.999999999999999,0.0,16716.84768
W1_PV1,风电场景1,光伏场景1,5,5:00-6:00,1.6301999999999999,18.724,0.0,18.724,63.0,0.9999999999999997,1,1,19.999999999999993,19.999999999999993,1.4999999999999996,41.499999999999986,43.13019999999999,24.406199999999984,0.0,18.724,2.999999999999999,0.3424,8356.682879999993,2808.6,0.0,1999.9999999999993,2999.9999999999986,2.999999999999999,0.0,16168.282879999992
W1_PV1,风电场景1,光伏场景1,6,6:00-7:00,2.5002,9.628,14.08,23.708,63.0,0.9999999999999999,1,1,19.999999999999996,19.999999999999996,1.4999999999999998,41.49999999999999,44.00019999999999,20.292199999999998,0.0,23.708,2.9999999999999996,0.3424,6948.049279999998,1444.2,1689.6,1999.9999999999998,2999.9999999999995,2.9999999999999996,0.0,15084.849279999999
W1_PV1,风电场景1,光伏场景1,7,7:00-8:00,3.3701999999999996,22.804000000000002,25.6,48.404,63.0,1.0,1,0,20.0,20.0,1.5,41.5,44.8702,0.0,3.5338000000000065,44.8702,3.0,0.6074,0.0,3420.6000000000004,3072.0,2000.0,3000.0,3.0,1335.4230200000025,10160.176979999998
W1_PV1,风电场景1,光伏场景1,8,8:00-9:00,4.0098,17.852,37.12,54.971999999999994,63.0,1.0,1,0,20.0,20.0,1.5,41.5,45.5098,0.0,9.462199999999996,45.5098,3.0,0.6074,0.0,2677.7999999999997,4454.4,2000.0,3000.0,3.0,3575.7653799999985,8559.43462
W1_PV1,风电场景1,光伏场景1,9,9:00-10:00,4.199999999999999,14.328000000000001,46.08,60.408,63.0,1.0,1,0,20.0,20.0,1.5,41.5,45.7,0.0,14.707999999999998,45.7,3.0,0.6074,0.0,2149.2000000000003,5529.599999999999,2000.0,3000.0,3.0,5558.1532,7123.6467999999995
W1_PV1,风电场景1,光伏场景1,10,10:00-11:00,4.1202,11.904,52.48,64.384,63.0,1.0,1,0,20.0,20.0,1.5,41.5,45.6202,0.0,18.763800000000003,45.6202,3.0,0.8024,0.0,1785.6,6297.599999999999,2000.0,3000.0,3.0,7090.8400200000015,5995.359979999997
W1_PV1,风电场景1,光伏场景1,11,11:00-12:00,3.9000000000000004,7.736,55.04,62.775999999999996,63.0,1.0,1,0,20.0,20.0,1.5,41.5,45.4,0.0,17.375999999999998,45.4,3.0,0.8024,0.0,1160.3999999999999,6604.8,2000.0,3000.0,3.0,6566.390399999999,6201.809600000001
W1_PV1,风电场景1,光伏场景1,12,12:00-13:00,3.2598000000000003,8.556000000000001,56.32,64.876,63.0,1.0,1,0,20.0,20.0,1.5,41.5,44.7598,0.0,20.116200000000006,44.7598,3.0,0.8024,0.0,1283.4000000000003,6758.4,2000.0,3000.0,3.0,7601.9119800000035,5442.888019999996
W1_PV1,风电场景1,光伏场景1,13,13:00-14:00,2.6898,14.52,56.32,70.84,63.0,1.0,1,0,20.0,20.0,1.5,41.5,44.1898,0.0,26.650199999999998,44.189800000000005,3.0,0.8024,0.0,2178.0,6758.4,2000.0,3000.0,3.0,10071.110579999999,3868.289420000001
W1_PV1,风电场景1,光伏场景1,14,14:00-15:00,3.63,6.707999999999999,52.48,59.187999999999995,63.0,1.0,1,0,20.0,20.0,1.5,41.5,45.13,0.0,14.057999999999993,45.13,3.0,0.8024,0.0,1006.1999999999998,6297.599999999999,2000.0,3000.0,3.0,5312.518199999998,6994.281800000002
W1_PV1,风电场景1,光伏场景1,15,15:00-16:00,3.8202000000000003,11.175999999999998,44.8,55.976,63.0,0.9999999999999997,1,0,19.999999999999993,19.999999999999993,1.4999999999999996,41.499999999999986,45.320199999999986,0.0,10.655800000000013,45.320199999999986,2.999999999999999,0.6074,0.0,1676.3999999999996,5376.0,1999.9999999999993,2999.9999999999986,2.999999999999999,4026.8268200000052,8028.573179999992
W1_PV1,风电场景1,光伏场景1,16,16:00-17:00,3.75,10.107999999999999,33.28,43.388,63.0,0.9551325301204819,1,0,19.10265060240964,19.10265060240964,1.4326987951807229,39.638,43.388,0.0,0.0,43.388,2.8653975903614457,0.6074,0.0,1516.1999999999996,3993.6,1910.265060240964,2865.3975903614455,2.8653975903614457,0.0,10288.32804819277
W1_PV1,风电场景1,光伏场景1,17,17:00-18:00,3.1398,6.3839999999999995,24.32,30.704,63.0,0.6641975903614458,1,0,13.283951807228915,13.283951807228915,0.9962963855421687,27.5642,30.704,0.0,0.0,30.704,1.9925927710843374,0.6074,0.0,957.5999999999998,2918.4,1328.3951807228916,1992.5927710843373,1.9925927710843374,0.0,7198.980544578313
W1_PV1,风电场景1,光伏场景1,18,18:00-19:00,2.61,6.428000000000001,11.52,17.948,63.0,0.36959036144578317,1,1,7.391807228915663,7.391807228915663,0.5543855421686747,15.338000000000001,17.948,0.0,0.0,17.948,1.1087710843373495,0.8024,0.0,964.2,1382.3999999999999,739.1807228915663,1108.7710843373495,1.1087710843373495,0.0,4195.660578313254
W1_PV1,风电场景1,光伏场景1,19,19:00-20:00,2.1198,5.736,0.0,5.736,63.0,0.1,1,1,2.0,2.0,0.15000000000000002,4.15,6.2698,0.5338000000000006,0.0,5.736,0.30000000000000004,0.8024,428.3211200000005,860.4,0.0,200.0,300.0,0.30000000000000004,0.0,1789.0211200000006
W1_PV1,风电场景1,光伏场景1,20,20:00-21:00,1.8599999999999999,3.752,0.0,3.752,63.0,0.0,0,0,0.0,0.0,0.0,0.0,1.8599999999999999,0.0,1.891999999999996,1.8600000000000039,0.0,0.8024,0.0,562.8,0.0,0.0,0.0,0.0,714.9867999999984,-152.18679999999847
W1_PV1,风电场景1,光伏场景1,21,21:00-22:00,1.6301999999999999,3.6919999999999997,0.0,3.6919999999999997,63.0,0.9110795180722961,1,1,18.221590361445923,18.221590361445923,1.3666192771084442,37.80980000000029,39.44000000000029,35.74800000000029,0.0,3.6919999999999997,2.7332385542168884,0.6074,21713.33520000018,553.8,0.0,1822.1590361445924,2733.2385542168886,2.7332385542168884,0.0,26825.266028915878
W1_PV1,风电场景1,光伏场景1,22,22:00-23:00,1.56,4.88,0.0,4.88,63.0,0.9999999999999998,1,1,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,43.059999999999995,38.17999999999999,0.0,4.88,2.999999999999999,0.6074,23190.532,732.0,0.0,1999.9999999999998,2999.9999999999995,2.999999999999999,0.0,28925.532
W1_PV1,风电场景1,光伏场景1,23,23:00-24:00,1.4802,3.1919999999999997,0.0,3.1919999999999997,63.0,0.9999999999999999,1,1,19.999999999999996,19.999999999999996,1.4999999999999998,41.49999999999999,42.980199999999996,39.788199999999996,0.0,3.1919999999999997,2.9999999999999996,0.3424,13623.479679999999,478.7999999999999,0.0,1999.9999999999998,2999.9999999999995,2.9999999999999996,0.0,19105.279679999996
W1_PV1,风电场景1,光伏场景1,0,0:00-1:00,1.3698000000000001,9.776,0.0,9.776,54.0,0.9999999999999997,1,1,19.999999999999993,19.999999999999993,1.4999999999999996,41.499999999999986,42.869799999999984,33.09379999999999,0.0,9.776,2.999999999999999,0.3424,11331.317119999996,1466.3999999999999,0.0,1999.9999999999993,2999.9999999999986,2.999999999999999,0.0,17800.717119999994
