scenario_id,scenario_label,wind_scenario,pv_scenario,production_ton,total_cost_yuan,ton_cost_yuan_per_ton,grid_purchase_mwh,grid_export_mwh,renewable_self_used_mwh,total_load_mwh,renewable_generation_mwh,renewable_self_use_ratio,green_power_ratio,renewable_export_ratio,renewable_self_use_pass,green_power_pass,renewable_export_pass,pass_count,satisfaction_type,on_hours,selected_times,avg_power_ratio,mean_running_power_ratio,min_running_power_ratio,max_running_power_ratio,utilization_rate,total_ammonia_output_ton,renewable_self_use_pct,green_power_pct,renewable_export_pct
W1_PV1,风电场景1_光伏场景1,风电场景1,光伏场景1,72.0,391011.6537333333,5430.717412962962,430.28,135.324,626.4399999999998,1056.7199999999998,761.7639999999999,0.8223544299809389,0.5928155045802104,0.177645570019061,True,True,True,3,全满足,24,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;20:00-21:00;21:00-22:00;22:00-23:00;23:00-24:00,1.0,1.0,1.0,1.0,1.0,72.0,82.23544299809389,59.28155045802104,17.764557001906102
W1_PV1,风电场景1_光伏场景1,风电场景1,光伏场景1,63.0,280707.1677333335,4455.669329100531,307.6720000000002,137.216,624.5479999999999,932.2200000000004,761.7639999999999,0.8198707211157261,0.6699577352985344,0.1801292788842739,True,True,True,3,全满足,23,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;21:00-22:00;22:00-23:00;23:00-24:00,0.8750000000000001,0.9130434782608698,0.1,1.0,0.8750000000000001,63.00000000000001,81.98707211157262,66.99577352985344,18.01292788842739
W1_PV1,风电场景1_光伏场景1,风电场景1,光伏场景1,54.0,201456.54363333344,3730.676733950619,233.21019999999996,187.25419999999977,574.5098000000002,807.7200000000003,761.7639999999999,0.7541834478919983,0.7112734611003813,0.2458165521080016,True,True,False,2,部分满足,19,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;23:00-24:00,0.7500000000000001,0.9473684210526316,0.3806698795180773,1.0,0.7500000000000001,54.00000000000001,75.41834478919984,71.12734611003813,24.58165521080016
W1_PV1,风电场景1_光伏场景1,风电场景1,光伏场景1,45.0,139398.99363333336,3097.755414074075,233.21019999999996,311.75419999999986,450.0098,683.22,761.7639999999999,0.590747003008806,0.6586601680278681,0.409252996991194,False,True,False,1,部分满足,16,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;11:00-12:00;13:00-14:00;14:00-15:00;16:00-17:00;17:00-18:00;23:00-24:00,0.625,0.9375,0.3806698795180738,1.0,0.625,45.0,59.0747003008806,65.8660168027868,40.9252996991194
W1_PV1,风电场景1_光伏场景1,风电场景1,光伏场景1,36.0,77341.44363333331,2148.373434259259,233.21019999999996,436.2541999999999,325.5098,558.7199999999999,761.7639999999999,0.4273105581256137,0.582599155211913,0.5726894418743863,False,True,False,1,部分满足,12,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;9:00-10:00;11:00-12:00;14:00-15:00;23:00-24:00,0.5,1.0,0.9999999999999996,1.0,0.5,36.0,42.73105581256137,58.259915521191296,57.26894418743863
W1_PV2,风电场景1_光伏场景2,风电场景1,光伏场景2,72.0,489837.9306333333,6803.30459212963,560.9662000000001,7.450200000000002,495.7538,1056.7199999999998,503.204,0.985194473811814,0.4691439548792491,0.0148055261881861,True,True,True,3,全满足,24,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;20:00-21:00;21:00-22:00;22:00-23:00;23:00-24:00,1.0,1.0,1.0,1.0,1.0,72.0,98.51944738118141,46.91439548792491,1.48055261881861
W1_PV2,风电场景1_光伏场景2,风电场景1,光伏场景2,63.0,374930.1306333334,5951.271914814816,436.4662,7.450200000000006,495.7538,932.22,503.204,0.985194473811814,0.5317991461243055,0.0148055261881861,True,True,True,3,全满足,24,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;20:00-21:00;21:00-22:00;22:00-23:00;23:00-24:00,0.875,0.875,0.1,1.0,0.875,62.99999999999999,98.51944738118141,53.179914612430544,1.48055261881861
W1_PV2,风电场景1_光伏场景2,风电场景1,光伏场景2,54.0,283020.7746333332,5241.125456172837,313.85819999999984,9.342200000000002,493.8618,807.7199999999998,503.204,0.981434567292788,0.6114269796464123,0.0185654327072121,True,True,True,3,全满足,23,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;21:00-22:00;22:00-23:00;23:00-24:00,0.7499999999999997,0.782608695652174,0.0999999999999999,1.0,0.7499999999999997,53.99999999999997,98.1434567292788,61.142697964641236,1.8565432707212102
W1_PV2,风电场景1_光伏场景2,风电场景1,光伏场景2,45.0,205581.7776333333,4568.483947407407,247.2901999999999,67.27419999999998,435.9298,683.2199999999999,503.204,0.8663082964364353,0.6380518720177981,0.1336917035635646,True,True,True,3,全满足,17,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;23:00-24:00,0.625,0.8823529411764705,0.4607228915662649,1.0,0.625,44.99999999999999,86.63082964364352,63.80518720177981,13.369170356356461
W1_PV2,风电场景1_光伏场景2,风电场景1,光伏场景2,36.0,143524.22763333333,3986.784100925926,247.2901999999999,191.77419999999992,311.4298000000001,558.72,503.204,0.6188937289846664,0.5573986970217643,0.3811062710153335,True,True,False,2,部分满足,14,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;13:00-14:00;14:00-15:00;23:00-24:00,0.5,0.8571428571428573,0.2460722891566272,1.0,0.5,36.0,61.88937289846665,55.73986970217643,38.11062710153335
