scenario_id,wind_scenario,pv_scenario,hour,time,base_load_mw,wind_power_mw,pv_power_mw,renewable_power_mw,production_ton,power_ratio,on_status,grid_mode_purchase,alk_power_mw,pem_power_mw,ammonia_power_mw,hydrogen_ammonia_load_mw,total_load_mw,grid_purchase_mw,grid_export_mw,renewable_self_used_mw,hourly_ammonia_output_ton,tou_price_yuan_per_kwh,grid_purchase_cost_yuan,wind_generation_cost_yuan,pv_generation_cost_yuan,alk_om_cost_yuan,pem_om_cost_yuan,ammonia_om_cost_yuan,grid_export_revenue_yuan,hourly_net_cost_yuan
W1_PV1,风电场景1,光伏场景1,0,0:00-1:00,1.3698,9.776,0.0,9.776,48.3213642697669,0.9999999999999997,1,1,19.999999999999993,19.999999999999993,1.4999999999999996,41.499999999999986,42.869799999999984,33.09379999999999,0.0,9.776,2.999999999999999,0.3424,11331.317119999996,1466.3999999999999,0.0,1999.9999999999993,2999.9999999999986,2.999999999999999,0.0,17800.717119999994
W1_PV1,风电场景1,光伏场景1,1,1:00-2:00,1.0998,10.904,0.0,10.904,48.3213642697669,0.9999999999999998,1,1,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,42.599799999999995,31.69579999999999,0.0,10.904,2.999999999999999,0.3424,10852.641919999996,1635.6,0.0,1999.9999999999998,2999.9999999999995,2.999999999999999,0.0,17491.241919999997
W1_PV1,风电场景1,光伏场景1,2,2:00-3:00,0.7998000000000001,15.152,0.0,15.152,48.3213642697669,0.9999999999999998,1,1,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,42.29979999999999,27.14779999999999,0.0,15.152,2.999999999999999,0.3424,9295.406719999995,2272.7999999999997,0.0,1999.9999999999998,2999.9999999999995,2.999999999999999,0.0,16571.206719999995
W1_PV1,风电场景1,光伏场景1,3,3:00-4:00,0.99,13.312,0.0,13.312,48.3213642697669,0.9999999999999998,1,1,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,42.489999999999995,29.177999999999994,0.0,13.312,2.999999999999999,0.3424,9990.547199999997,1996.8,0.0,1999.9999999999998,2999.9999999999995,2.999999999999999,0.0,16990.347199999997
W1_PV1,风电场景1,光伏场景1,4,4:00-5:00,1.1802,15.072,0.0,15.072,48.3213642697669,0.9999999999999998,1,1,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,42.68019999999999,27.608199999999993,0.0,15.072,2.999999999999999,0.3424,9453.047679999998,2260.7999999999997,0.0,1999.9999999999998,2999.9999999999995,2.999999999999999,0.0,16716.847679999995
W1_PV1,风电场景1,光伏场景1,5,5:00-6:00,1.6302,18.724,0.0,18.724,48.3213642697669,0.9999999999999997,1,1,19.999999999999993,19.999999999999993,1.4999999999999996,41.499999999999986,43.13019999999999,24.406199999999984,0.0,18.724,2.999999999999999,0.3424,8356.682879999993,2808.6,0.0,1999.9999999999993,2999.9999999999986,2.999999999999999,0.0,16168.282879999992
W1_PV1,风电场景1,光伏场景1,6,6:00-7:00,2.5002,9.628,14.08,23.708,48.3213642697669,0.9999999999999999,1,1,19.999999999999996,19.999999999999996,1.4999999999999998,41.49999999999999,44.00019999999999,20.292199999999998,0.0,23.708,2.9999999999999996,0.3424,6948.049279999998,1444.2,1689.6,1999.9999999999998,2999.9999999999995,2.9999999999999996,0.0,15084.849279999999
W1_PV1,风电场景1,光伏场景1,7,7:00-8:00,3.3702,22.804,25.6,48.404,48.3213642697669,0.487791302773709,1,0,9.75582605547418,9.75582605547418,0.7316869541605635,20.243339065108923,23.613539065108924,0.0,24.790460934891083,23.61353906510892,1.463373908321127,0.6074,0.0,3420.6,3072.0,975.5826055474181,1463.3739083211271,1.463373908321127,9368.31518729534,-435.29529951847326
W1_PV1,风电场景1,光伏场景1,8,8:00-9:00,4.0098,17.852,37.12,54.972,48.3213642697669,1.0,1,0,20.0,20.0,1.5,41.5,45.5098,0.0,9.462200000000003,45.5098,3.0,0.6074,0.0,2677.7999999999997,4454.4,2000.0,3000.0,3.0,3575.765380000001,8559.434619999998
W1_PV1,风电场景1,光伏场景1,9,9:00-10:00,4.199999999999999,14.328,46.08,60.408,48.3213642697669,1.0,1,0,20.0,20.0,1.5,41.5,45.7,0.0,14.707999999999998,45.7,3.0,0.6074,0.0,2149.2,5529.599999999999,2000.0,3000.0,3.0,5558.1532,7123.6467999999995
