min_run_hours,startup_equiv_hours,production_ton,scenario_count,annual_days,annual_total_cost_yuan,annual_total_production_ton,annual_avg_ton_cost_yuan_per_ton,annual_total_startups,mean_daily_start_count,mean_startup_cost_yuan,all_satisfied_scenarios,partially_satisfied_scenarios,none_satisfied_scenarios,all_satisfied_days,partially_satisfied_days,none_satisfied_days,mean_grid_purchase_mwh,mean_grid_export_mwh,mean_renewable_self_use_ratio,mean_green_power_ratio,mean_renewable_export_ratio,best_cost_increase_yuan_per_ton,best_cost_increase_ratio
1,0.0,36.0,24,360,59439941.061,12960.0,4586.415205324074,945,2.625,0.0,0,24,0,0,360,0,297.9932,215.2485333333333,0.5874703635131286,0.4666502004581901,0.41252963648687135,0.0,0.0
1,0.5,36.0,24,360,66483186.530999996,12960.0,5129.8755039351845,405,1.125,16448.493750000005,0,22,2,0,330,30,310.91886666666664,228.1742,0.5571751434030425,0.443515774150439,0.4428248565969575,543.4602986111104,0.1184934800452088
1,1.0,36.0,24,360,71898632.805,12960.0,5547.734012731482,360,1.0,29241.766666666674,0,22,2,0,330,30,320.08098333333334,237.33631666666665,0.5369139675442197,0.42711736946353573,0.46308603245578034,961.3188074074078,0.20960134753859064
1,2.0,36.0,24,360,82425668.805,12960.0,6360.005309027778,360,1.0,58483.53333333335,0,22,2,0,330,30,320.08098333333334,237.33631666666665,0.5369139675442197,0.42711736946353573,0.46308603245578034,1773.5901037037038,0.38670508977138773
2,0.0,36.0,24,360,59518258.305,12960.0,4592.458202546296,825,2.2916666666666665,0.0,0,24,0,0,360,0,298.77181666666667,216.02715,0.5851533289958377,0.46525662824551356,0.4148466710041623,6.042997222221857,0.0013175861651616126
2,0.5,36.0,24,360,66483186.530999996,12960.0,5129.8755039351845,405,1.125,16448.493750000005,0,22,2,0,330,30,310.91886666666664,228.1742,0.5571751434030425,0.443515774150439,0.4428248565969575,543.4602986111104,0.1184934800452088
2,1.0,36.0,24,360,71898632.805,12960.0,5547.734012731482,360,1.0,29241.766666666674,0,22,2,0,330,30,320.08098333333334,237.33631666666665,0.5369139675442197,0.42711736946353573,0.46308603245578034,961.3188074074078,0.20960134753859064
2,2.0,36.0,24,360,82425668.805,12960.0,6360.005309027778,360,1.0,58483.53333333335,0,22,2,0,330,30,320.08098333333334,237.33631666666665,0.5369139675442197,0.42711736946353573,0.46308603245578034,1773.5901037037038,0.38670508977138773
3,0.0,36.0,24,360,59683806.753000006,12960.0,4605.232002546297,615,1.7083333333333333,0.0,0,24,0,0,360,0,300.77555,218.03088333333335,0.5798044135076807,0.46167033576746846,0.4201955864923192,18.816797222222704,0.004102724323863983
3,0.5,36.0,24,360,66483186.530999996,12960.0,5129.8755039351845,405,1.125,16448.493750000005,0,22,2,0,330,30,310.91886666666664,228.1742,0.5571751434030425,0.443515774150439,0.4428248565969575,543.4602986111104,0.1184934800452088
3,1.0,36.0,24,360,71898632.805,12960.0,5547.734012731482,360,1.0,29241.766666666674,0,22,2,0,330,30,320.08098333333334,237.33631666666665,0.5369139675442197,0.42711736946353573,0.46308603245578034,961.3188074074078,0.20960134753859064
3,2.0,36.0,24,360,82425668.805,12960.0,6360.005309027778,360,1.0,58483.53333333335,0,22,2,0,330,30,320.08098333333334,237.33631666666665,0.5369139675442197,0.42711736946353573,0.46308603245578034,1773.5901037037038,0.38670508977138773
4,0.0,36.0,24,360,59879055.133499995,12960.0,4620.29746400463,570,1.5833333333333333,0.0,0,23,1,0,345,15,301.4304916666667,218.68582500000002,0.5772573476979593,0.4604981177214585,0.4227426523020408,33.882258680555424,0.007387525368663459
4,0.5,36.0,24,360,66483186.530999996,12960.0,5129.8755039351845,405,1.125,16448.493750000005,0,22,2,0,330,30,310.91886666666664,228.1742,0.5571751434030425,0.443515774150439,0.4428248565969575,543.4602986111104,0.1184934800452088
4,1.0,36.0,24,360,71898632.805,12960.0,5547.734012731482,360,1.0,29241.766666666674,0,22,2,0,330,30,320.08098333333334,237.33631666666665,0.5369139675442197,0.42711736946353573,0.46308603245578034,961.3188074074078,0.20960134753859064
4,2.0,36.0,24,360,82425668.805,12960.0,6360.005309027778,360,1.0,58483.53333333335,0,22,2,0,330,30,320.08098333333334,237.33631666666665,0.5369139675442197,0.42711736946353573,0.46308603245578034,1773.5901037037038,0.38670508977138773
