method,knee_capacity_mwh,score,benefit_indicator,benefit_name,bic,slope_before,slope_after,slope_ratio,recommended_interval_lower_mwh,recommended_interval_upper_mwh,interpretation
chord_distance,115.0,0.3810689589704055,production_gain_ton,年制氨量提升,,,,,,,
normalized_net_benefit,120.0,0.4244480041439867,production_gain_ton,年制氨量提升,,,,,,,
piecewise_bic,110.0,,production_gain_ton,年制氨量提升,311.18480471127316,5.875698403310953,0.5309729812340084,0.0903676371365156,,,
chord_distance,115.0,0.3797857309341479,curtailment_reduction_mwh,弃电削减量,,,,,,,
normalized_net_benefit,120.0,0.42347981358095615,curtailment_reduction_mwh,弃电削减量,,,,,,,
piecewise_bic,110.0,,curtailment_reduction_mwh,弃电削减量,557.8781221144934,101.09314875425167,9.680193951558282,0.09575519281815982,,,
chord_distance,115.0,0.38106895897040627,capacity_utilization_gain_pct,产能利用率提升,,,,,,,
normalized_net_benefit,120.0,0.42444800414398726,capacity_utilization_gain_pct,产能利用率提升,,,,,,,
piecewise_bic,110.0,,capacity_utilization_gain_pct,产能利用率提升,-188.99919209175752,0.022668589518946586,0.0020485068720447848,0.09036763713651555,,,
final_recommendation,120.0,,production_and_curtailment,年制氨量提升与弃电削减,,,,,120.0,120.0,推荐容量由年制氨量提升与弃电削减两个维度的单位成本收益拐点共同确定；若两个拐点接近，则取其附近标准容量作为工程推荐容量。
