case_name,category,value,recommended_capacity_mwh,annual_production_ton,capacity_utilization_rate,offgrid_storage_ton_cost_yuan_per_ton,grid_same_production_ton_cost_yuan_per_ton,grid_cost_advantage_yuan_per_ton,annual_total_curtailment_mwh,annual_total_unserved_mwh,production_gain_per_100yuan,curtailment_reduction_per_100yuan,utilization_gain_pp_per_100yuan
storage_cost_0p6,storage_cost_multiplier,0.6,20.0,10070.013203574505,0.3885035958169176,4191.769090715388,3464.627266076061,727.1418246393273,9613.573463897736,0.0,2257.802281495221,35810.19576439323,8.710656950213055
storage_cost_0p8,storage_cost_multiplier,0.8,20.0,10070.013203574505,0.3885035958169176,4218.250353577289,3464.627266076061,753.6230875012284,9613.573463897736,0.0,734.7841260212997,11654.14864403707,2.8348153010081045
storage_cost_1p0,storage_cost_multiplier,1.0,20.0,10070.013203574505,0.3885035958169176,4244.7316164391905,3464.627266076061,780.1043503631295,9613.573463897736,0.0,438.79292968149565,6959.537972262101,1.692873957104538
storage_cost_1p2,storage_cost_multiplier,1.2,20.0,10070.013203574505,0.3885035958169176,4271.212879301092,3464.627266076061,806.5856132250306,9613.573463897736,0.0,312.7918105390896,4961.079214379166,1.2067585283143905
storage_cost_1p4,storage_cost_multiplier,1.4,20.0,10070.013203574505,0.3885035958169176,4297.694142162992,3464.627266076061,833.0668760869307,9613.573463897736,0.0,243.01041275599778,3854.301381879751,0.9375401726697458
c_rate_0p5,storage_c_rate,0.5,20.0,10069.996895815631,0.3885029666595537,4244.736229434372,3464.6217103333433,780.1145191010287,9612.905203897824,0.0,438.7373356206643,6960.066114198178,1.6926594738451584
c_rate_1p0,storage_c_rate,1.0,20.0,10070.013203574505,0.3885035958169176,4244.7316164391905,3464.627266076061,780.1043503631295,9613.573463897736,0.0,438.79292968149565,6959.537972262101,1.692873957104538
c_rate_2p0,storage_c_rate,2.0,20.0,10070.013203574505,0.3885035958169176,4244.7316164391905,3464.627266076061,780.1043503631295,9613.573463897737,0.0,438.79292968149565,6959.537972262098,1.692873957104538
storage_efficiency_0p85,storage_efficiency,0.85,20.0,10057.293984155742,0.38801288519119376,4247.965440552254,3460.4051302992675,787.5603102529867,9495.572520362664,0.0,399.77870360122756,6804.318752532769,1.5423561095726401
storage_efficiency_0p90,storage_efficiency,0.9,20.0,10070.013203574505,0.3885035958169176,4244.7316164391905,3464.627266076061,780.1043503631295,9613.573463897736,0.0,438.79292968149565,6959.537972262101,1.692873957104538
storage_efficiency_0p95,storage_efficiency,0.95,20.0,10082.860275862517,0.38899923903790573,4241.511002574172,3468.881314947756,772.6296876264164,9719.153255481748,0.0,481.9468303623901,7149.179844318816,1.859362771459839
renewable_scale_0p90,renewable_scale,0.9,20.0,9161.075988498185,0.3534365736303312,4244.884559003667,3578.490172030093,666.394386973574,5098.526675704117,0.0,438.59027826628,6865.7820488960915,1.6920921229408965
renewable_scale_1p00,renewable_scale,1.0,20.0,10070.013203574505,0.3885035958169176,4244.7316164391905,3464.627266076061,780.1043503631295,9613.573463897736,0.0,438.79292968149565,6959.537972262101,1.692873957104538
renewable_scale_1p10,renewable_scale,1.1,20.0,10944.413636009387,0.4222381804015967,4253.480244635881,3363.020292994242,890.4599516416388,14517.659567675255,0.0,554.3818127803216,8939.03214347886,2.1388187221463024
